ip16	task	variant	revisions
20.165	archive-item-research-bench	art-work-of-charleston	4
20.165	archive-item-research-bench	texas-tsl-preservica	5
20.165	archive-item-research-bench	clark-economics-newsletters	2
20.165	archive-item-research-bench	patriots-point-jan-1951	3
20.165	archive-item-research-bench	minnesota-mhs-p16022coll45-152	1
20.165	fast-follow-question-bench	oecd-equity	11
20.165	fast-follow-question-bench	(hub:relay-coordination)	10
20.165	fast-follow-question-bench	datausa-clothing-workforce	11
20.165	fast-follow-question-bench	datausa-cashiers-masters	11
20.165	fast-follow-question-bench	datausa-construction-workforce	15
20.165	fast-follow-question-bench	datausa-grocery-workforce	13
20.165	fast-follow-question-bench	ihme-cvd-deaths	3
20.165	fast-follow-question-bench	datausa-language-french	8
20.165	fast-follow-question-bench	datausa-poverty-county	6
20.165	fast-follow-question-bench	datausa-maids-wage	4
20.165	fast-follow-question-bench	datausa-police-wage-age	3
20.165	fast-follow-question-bench	datausa-transport-production	3
20.165	fast-follow-question-bench	datausa-sector61-state	3
20.165	fast-follow-question-bench	ihme-family-planning	1
20.165	fast-follow-question-bench	datausa-occupation-salary-61-62	3
20.165	fast-follow-question-bench	datausa-finance-gender-gap	5
20.165	fast-follow-question-bench	(hub:mixed-task)	2
20.165	fast-follow-question-bench	oecd-regional-co2	1
20.165	fast-follow-question-bench	uefa-pass-accuracy	3
20.165	fast-follow-question-bench	nyc-veterans	4
20.165	fast-follow-question-bench	datausa-enrollment-asian	1
20.165	fast-follow-question-bench	datausa-poverty-state	1
20.165	fast-follow-question-bench	datausa-cashiers-bachelors	1
20.165	fast-follow-question-bench	fuel-poverty-ni	1
20.165	fast-follow-question-bench	dataafrica-rainfed-crops	1
20.165	sec-regcf-ma-cache	(no variants)	211
20.69	archive-item-research-bench	art-work-of-charleston	12
20.69	archive-item-research-bench	texas-tsl-preservica	7
20.69	archive-item-research-bench	clark-economics-newsletters	1
20.69	archive-item-research-bench	patriots-point-jan-1951	2
20.69	archive-item-research-bench	minnesota-mhs-p16022coll45-152	1
20.69	fast-follow-question-bench	oecd-equity	12
20.69	fast-follow-question-bench	(hub:relay-coordination)	14
20.69	fast-follow-question-bench	datausa-clothing-workforce	13
20.69	fast-follow-question-bench	datausa-cashiers-masters	10
20.69	fast-follow-question-bench	datausa-construction-workforce	13
20.69	fast-follow-question-bench	datausa-grocery-workforce	8
20.69	fast-follow-question-bench	ihme-cvd-deaths	1
20.69	fast-follow-question-bench	datausa-language-french	13
20.69	fast-follow-question-bench	datausa-poverty-county	7
20.69	fast-follow-question-bench	datausa-maids-wage	4
20.69	fast-follow-question-bench	datausa-police-wage-age	6
20.69	fast-follow-question-bench	datausa-transport-production	2
20.69	fast-follow-question-bench	datausa-sector61-state	5
20.69	fast-follow-question-bench	ihme-family-planning	1
20.69	fast-follow-question-bench	datausa-occupation-salary-61-62	2
20.69	fast-follow-question-bench	datausa-finance-gender-gap	2
20.69	fast-follow-question-bench	(hub:mixed-task)	3
20.69	fast-follow-question-bench	oecd-regional-co2	1
20.69	fast-follow-question-bench	uefa-pass-accuracy	3
20.69	fast-follow-question-bench	datausa-enrollment-asian	1
20.69	fast-follow-question-bench	datausa-production-share	1
20.69	fast-follow-question-bench	vermont-rent	1
20.69	fast-follow-question-bench	datausa-ivy-tuition	1
20.69	fast-follow-question-bench	ihme-smoking	1
20.69	fast-follow-question-bench	sdg-index-score	1
20.69	fast-follow-question-bench	dataafrica-rainfed-crops	1
20.69	fast-follow-question-bench	datausa-construction-wage	1
20.69	sec-regcf-ma-cache	(no variants)	197
57.154	archive-item-research-bench	art-work-of-charleston	4
57.154	archive-item-research-bench	texas-tsl-preservica	2
57.154	archive-item-research-bench	clark-economics-newsletters	5
57.154	archive-item-research-bench	patriots-point-jan-1951	5
57.154	archive-item-research-bench	minnesota-mhs-p16022coll45-152	2
57.154	fast-follow-question-bench	oecd-equity	20
57.154	fast-follow-question-bench	(hub:relay-coordination)	13
57.154	fast-follow-question-bench	datausa-clothing-workforce	10
57.154	fast-follow-question-bench	datausa-cashiers-masters	6
57.154	fast-follow-question-bench	datausa-construction-workforce	10
57.154	fast-follow-question-bench	datausa-grocery-workforce	3
57.154	fast-follow-question-bench	ihme-cvd-deaths	4
57.154	fast-follow-question-bench	datausa-language-french	7
57.154	fast-follow-question-bench	datausa-poverty-county	6
57.154	fast-follow-question-bench	datausa-maids-wage	3
57.154	fast-follow-question-bench	datausa-police-wage-age	1
57.154	fast-follow-question-bench	datausa-transport-production	8
57.154	fast-follow-question-bench	datausa-sector61-state	4
57.154	fast-follow-question-bench	ihme-family-planning	2
57.154	fast-follow-question-bench	datausa-occupation-salary-61-62	2
57.154	fast-follow-question-bench	datausa-finance-gender-gap	2
57.154	fast-follow-question-bench	(hub:mixed-task)	1
57.154	fast-follow-question-bench	oecd-regional-co2	1
57.154	fast-follow-question-bench	nyc-veterans	2
57.154	fast-follow-question-bench	datausa-poverty-state	2
57.154	fast-follow-question-bench	datausa-production-share	1
57.154	fast-follow-question-bench	fuel-poverty-ni	1
57.154	fast-follow-question-bench	ihme-mcv2	1
57.154	fast-follow-question-bench	datausa-slp-ethnicity	1
57.154	sec-regcf-ma-cache	(no variants)	156
20.171	archive-item-research-bench	art-work-of-charleston	2
20.171	archive-item-research-bench	texas-tsl-preservica	1
20.171	archive-item-research-bench	clark-economics-newsletters	4
20.171	archive-item-research-bench	patriots-point-jan-1951	1
20.171	archive-item-research-bench	minnesota-mhs-p16022coll45-152	2
20.171	fast-follow-question-bench	oecd-equity	10
20.171	fast-follow-question-bench	(hub:relay-coordination)	13
20.171	fast-follow-question-bench	datausa-clothing-workforce	11
20.171	fast-follow-question-bench	datausa-cashiers-masters	10
20.171	fast-follow-question-bench	datausa-construction-workforce	5
20.171	fast-follow-question-bench	datausa-grocery-workforce	2
20.171	fast-follow-question-bench	ihme-cvd-deaths	2
20.171	fast-follow-question-bench	datausa-language-french	6
20.171	fast-follow-question-bench	datausa-poverty-county	4
20.171	fast-follow-question-bench	datausa-maids-wage	3
20.171	fast-follow-question-bench	datausa-police-wage-age	6
20.171	fast-follow-question-bench	datausa-transport-production	1
20.171	fast-follow-question-bench	datausa-sector61-state	2
20.171	fast-follow-question-bench	ihme-family-planning	4
20.171	fast-follow-question-bench	datausa-occupation-salary-61-62	3
20.171	fast-follow-question-bench	datausa-finance-gender-gap	1
20.171	fast-follow-question-bench	(hub:mixed-task)	3
20.171	fast-follow-question-bench	oecd-regional-co2	1
20.171	fast-follow-question-bench	uefa-pass-accuracy	2
20.171	fast-follow-question-bench	nyc-veterans	2
20.171	fast-follow-question-bench	datausa-enrollment-asian	2
20.171	fast-follow-question-bench	datausa-production-share	1
20.171	fast-follow-question-bench	datausa-cashiers-bachelors	2
20.171	fast-follow-question-bench	ihme-smoking	2
20.171	sec-regcf-ma-cache	(no variants)	171
20.97	archive-item-research-bench	art-work-of-charleston	4
20.97	archive-item-research-bench	texas-tsl-preservica	5
20.97	archive-item-research-bench	clark-economics-newsletters	4
20.97	archive-item-research-bench	patriots-point-jan-1951	5
20.97	fast-follow-question-bench	oecd-equity	14
20.97	fast-follow-question-bench	(hub:relay-coordination)	8
20.97	fast-follow-question-bench	datausa-clothing-workforce	11
20.97	fast-follow-question-bench	datausa-cashiers-masters	5
20.97	fast-follow-question-bench	datausa-construction-workforce	7
20.97	fast-follow-question-bench	datausa-grocery-workforce	9
20.97	fast-follow-question-bench	datausa-language-french	3
20.97	fast-follow-question-bench	datausa-poverty-county	7
20.97	fast-follow-question-bench	datausa-maids-wage	1
20.97	fast-follow-question-bench	datausa-police-wage-age	3
20.97	fast-follow-question-bench	datausa-transport-production	2
20.97	fast-follow-question-bench	datausa-sector61-state	4
20.97	fast-follow-question-bench	ihme-family-planning	1
20.97	fast-follow-question-bench	datausa-occupation-salary-61-62	3
20.97	fast-follow-question-bench	datausa-finance-gender-gap	1
20.97	fast-follow-question-bench	uefa-pass-accuracy	1
20.97	fast-follow-question-bench	datausa-enrollment-asian	2
20.97	fast-follow-question-bench	datausa-poverty-state	1
20.97	fast-follow-question-bench	vermont-rent	4
20.97	fast-follow-question-bench	datausa-cashiers-bachelors	1
20.97	sec-regcf-ma-cache	(no variants)	152
20.225	archive-item-research-bench	art-work-of-charleston	7
20.225	archive-item-research-bench	texas-tsl-preservica	3
20.225	archive-item-research-bench	clark-economics-newsletters	2
20.225	archive-item-research-bench	patriots-point-jan-1951	3
20.225	fast-follow-question-bench	oecd-equity	12
20.225	fast-follow-question-bench	(hub:relay-coordination)	7
20.225	fast-follow-question-bench	datausa-clothing-workforce	8
20.225	fast-follow-question-bench	datausa-cashiers-masters	8
20.225	fast-follow-question-bench	datausa-construction-workforce	8
20.225	fast-follow-question-bench	datausa-grocery-workforce	8
20.225	fast-follow-question-bench	ihme-cvd-deaths	3
20.225	fast-follow-question-bench	datausa-language-french	6
20.225	fast-follow-question-bench	datausa-poverty-county	3
20.225	fast-follow-question-bench	datausa-maids-wage	4
20.225	fast-follow-question-bench	datausa-police-wage-age	2
20.225	fast-follow-question-bench	datausa-transport-production	1
20.225	fast-follow-question-bench	datausa-sector61-state	3
20.225	fast-follow-question-bench	ihme-family-planning	1
20.225	fast-follow-question-bench	datausa-finance-gender-gap	2
20.225	fast-follow-question-bench	(hub:mixed-task)	1
20.225	fast-follow-question-bench	oecd-regional-co2	2
20.225	fast-follow-question-bench	uefa-pass-accuracy	1
20.225	fast-follow-question-bench	datausa-enrollment-asian	1
20.225	fast-follow-question-bench	vermont-rent	2
20.225	fast-follow-question-bench	datausa-ivy-tuition	1
20.225	fast-follow-question-bench	ihme-mcv2	1
20.225	fast-follow-question-bench	alaska-climate	2
20.225	sec-regcf-ma-cache	(no variants)	143
20.168	archive-item-research-bench	art-work-of-charleston	2
20.168	archive-item-research-bench	texas-tsl-preservica	1
20.168	archive-item-research-bench	clark-economics-newsletters	3
20.168	archive-item-research-bench	patriots-point-jan-1951	1
20.168	archive-item-research-bench	minnesota-mhs-p16022coll45-152	1
20.168	fast-follow-question-bench	oecd-equity	19
20.168	fast-follow-question-bench	(hub:relay-coordination)	7
20.168	fast-follow-question-bench	datausa-clothing-workforce	11
20.168	fast-follow-question-bench	datausa-cashiers-masters	3
20.168	fast-follow-question-bench	datausa-construction-workforce	10
20.168	fast-follow-question-bench	datausa-grocery-workforce	6
20.168	fast-follow-question-bench	ihme-cvd-deaths	3
20.168	fast-follow-question-bench	datausa-language-french	2
20.168	fast-follow-question-bench	datausa-poverty-county	4
20.168	fast-follow-question-bench	datausa-maids-wage	3
20.168	fast-follow-question-bench	datausa-police-wage-age	2
20.168	fast-follow-question-bench	datausa-transport-production	3
20.168	fast-follow-question-bench	datausa-sector61-state	2
20.168	fast-follow-question-bench	ihme-family-planning	1
20.168	fast-follow-question-bench	datausa-finance-gender-gap	1
20.168	fast-follow-question-bench	oecd-regional-co2	2
20.168	fast-follow-question-bench	nyc-veterans	1
20.168	fast-follow-question-bench	datausa-poverty-state	2
20.168	fast-follow-question-bench	datausa-production-share	1
20.168	fast-follow-question-bench	datausa-cashiers-bachelors	1
20.168	fast-follow-question-bench	datausa-ivy-tuition	2
20.168	fast-follow-question-bench	datausa-slp-ethnicity	1
20.168	fast-follow-question-bench	datausa-construction-wage	1
20.168	sec-regcf-ma-cache	(no variants)	147
20.9	archive-item-research-bench	texas-tsl-preservica	3
20.9	fast-follow-question-bench	oecd-equity	11
20.9	fast-follow-question-bench	(hub:relay-coordination)	16
20.9	fast-follow-question-bench	datausa-clothing-workforce	13
20.9	fast-follow-question-bench	datausa-cashiers-masters	11
20.9	fast-follow-question-bench	datausa-construction-workforce	5
20.9	fast-follow-question-bench	datausa-grocery-workforce	13
20.9	fast-follow-question-bench	ihme-cvd-deaths	2
20.9	fast-follow-question-bench	datausa-language-french	5
20.9	fast-follow-question-bench	datausa-poverty-county	3
20.9	fast-follow-question-bench	datausa-maids-wage	4
20.9	fast-follow-question-bench	datausa-police-wage-age	4
20.9	fast-follow-question-bench	datausa-transport-production	2
20.9	fast-follow-question-bench	datausa-sector61-state	1
20.9	fast-follow-question-bench	ihme-family-planning	3
20.9	fast-follow-question-bench	datausa-occupation-salary-61-62	2
20.9	fast-follow-question-bench	datausa-finance-gender-gap	2
20.9	fast-follow-question-bench	(hub:mixed-task)	2
20.9	fast-follow-question-bench	datausa-enrollment-asian	1
